Record.ID,Param.A,Param.B,Param.C,Param.D,Param.E,Param.F,Param.G,Param.H,Param.I,Param.J,Param.K,Param.L,Param.M,Param.N,Param.O,Param.P,Param.Q,Dep.Var
1,3.087424277,4.348845896,5.079008876,0.904176674,18.61725414,10,0.078576846,1,0,0,0,93.3148831,148,20,0.79,0,59,0
2,2.55919572,4.241304783,2.041375529,0.921253714,7.009519665,2,0.087299647,1,0,1,1,116.5056071,148,8,0.17,0,91.7132195,0
3,2.94181154,1.949850096,9.023151,0.189557756,8.650718336,4,0.319275117,1,1,0,1,103.8586201,147,9,1.28,0,73.37831952,0
4,1.890703713,1.433938869,0.021213428,0.850827353,26.20693348,6,0.124942305,0,1,0,1,111.3426316,155,27,0.75,0,79.98181685,0
5,2.202470969,2.66954937,2.163812281,0.660983825,17.69070232,9,0.136011705,0,0,1,0,97.9736487,142,19,1.22,0,67.59743549,0
6,2.301554963,0.954737738,5.448766493,0.321860076,19.34536605,2,0.30669581,1,1,0,1,106.67157,160,21,0.61,0,71.11764904,0
7,1.889245113,3.665519904,0.925844947,0.956155431,10.47498045,7,0.194791177,1,0,0,1,118.1511424,160,12,1.36,0,87.24807782,0
8,2.568401853,4.636031394,4.555539243,0.198087855,11.67485975,8,0.461760552,1,1,1,1,79.35915806,132,13,3.69,0,47.71118158,0
9,2.048850531,4.010348094,3.730181541,0.541778653,23.19647192,2,0.759616388,1,1,1,1,122.8493077,170,24,1.52,0,88.7761906,0
10,2.023287022,3.672136514,8.531175182,0.16798464,17.01791073,2,0.297514577,1,0,1,0,89.35470636,132,17,0.6,0,60.48684507,0
11,1.572874605,4.262571962,0.330460619,0.171642459,12.70835388,2,0.705358109,0,1,1,1,86.87830391,124,13,1.41,0,60.86967492,0
12,1.358014997,1.235922006,4.09096673,0.204112405,4.159053671,4,0.979453735,1,1,0,0,140.4258907,178,6,3.92,0,110.783319,0
13,1.513870508,1.443629522,1.719479634,0.882683663,18.58978178,5,0.31921807,0,0,1,0,106.0886864,139,20,1.6,0,80.96985167,0
14,1.360329059,1.408963254,6.760567373,0.732844212,11.6374975,5,0.52592183,1,1,0,0,105.1372875,141,14,2.63,0,78.39609378,0
15,2.812773374,2.690052068,0.925189443,0.410923281,4.576227133,8,0.346392799,1,0,0,0,84.53643169,123,5,2.77,0,58.10088035,0
16,2.383601042,0.187590507,0.061615052,0.188961337,6.298508195,1,0.151562835,0,1,0,1,140.4769882,172,7,0.15,0,114.7313036,0
17,1.908269977,3.763191569,7.775856614,0.882179783,12.2689053,9,0.381063507,0,0,1,1,94.51477364,147,13,3.43,1,60.76899616,0
18,1.928014359,4.494604193,5.568338555,0.321068625,3.56993742,5,0.221382791,1,0,1,0,135.5480628,176,4,1.11,0,104.3936212,0
19,1.590807946,2.557172098,3.274966872,0.191901575,20.69954651,7,0.288799103,1,0,0,1,119.55161,173,22,2.02,0,83,0
20,2.233606606,1.94037888,0.005748361,0.914335535,9.778185056,4,0.801774492,1,0,1,1,109.3946179,151,11,3.21,0,79,0
21,1.902725423,0.292054815,5.558325606,0.785769976,7.784968106,5,0.554550366,1,1,0,1,105.6104006,136,9,2.77,0,82,0
22,1.914369862,3.996908722,0.951459199,0.082857947,15.53192594,5,0.030420148,0,1,1,1,112.6290755,161,16,0.15,0,79,0
23,2.149737159,1.726373485,7.725143123,0.177018244,20.18375,1,0.573667476,1,0,0,0,135.9079952,176,21,0.57,0,105,0
24,1.635143578,2.237579823,0.456990726,0.342266406,10.14695136,1,0.78240898,0,0,0,0,88.11900476,115,11,0.78,0,68,0
25,2.834432302,3.405621343,7.433909131,0.076230729,25.70930673,1,0.620020964,0,0,0,1,94.32935498,156,27,0.62,1,57,0
26,2.347090285,1.862400127,5.901237557,0.274140955,17.45617691,2,0.345475846,1,0,0,1,98.66287288,141,18,0.69,0,69,0
27,2.05831384,0.848810201,1.198556372,0.377468408,14.69907445,9,0.790705175,1,0,0,1,96.40452921,146,16,7.12,0,64,0
28,1.309821486,3.373987723,2.263604461,0.021896077,10.45450091,7,0.264037638,1,1,1,0,102.2550724,148,11,1.85,0,71,0
29,2.955456608,3.201504462,1.642815596,0.679250027,12.04091559,3,0.800689219,0,0,1,0,81.40072146,118,12,2.4,0,56,0
30,1.190036694,2.155387896,5.073001243,0.47158711,9.796704269,8,0.899047774,1,0,0,0,120.6873589,149,10,7.19,0,98,0
31,1.683038966,2.86445461,4.297081519,0.293728674,15.2187509,4,0.375345163,1,1,0,0,160.092411,200,16,1.5,0,128,0
32,1.685496014,1.38622781,9.433917294,0.911406645,7.751207862,2,0.916415643,1,0,0,0,97.7010944,131,9,1.83,0,73,0
33,1.786381452,0.842473553,6.609159353,0.237762653,12.24971133,4,0.066431373,0,0,1,0,116.0760917,159,14,0.27,0,85,0
34,2.107088795,0.942214647,5.680616703,0.481793682,12.99441825,9,0.432620587,1,0,1,1,109.9235135,146,13,3.89,0,83,0
35,1.250892152,3.891127248,0.007347444,0.017788149,19.85246999,5,0.433371545,0,1,0,0,76.71207334,121,21,2.17,0,49,0
36,2.218978129,4.899529206,1.767425142,0.988697885,14.79311947,3,0.547938531,1,0,0,1,95.18373825,135,17,1.64,0,67,0
37,2.531287046,1.999832434,0.14204006,0.650529465,6.975877376,1,0.983480211,1,0,1,0,141.82488,167,8,0.98,0,120,0
38,0.883687464,2.026898692,4.039246522,0.078346216,17.58118266,10,0.513007563,0,1,0,0,71.30453151,110,19,5.13,0,46,0
39,1.600694133,3.410549253,0.038926728,0.486663979,14.03198578,5,0.88473848,0,1,1,1,75.42657487,119,16,4.42,0,48,0
40,1.991294619,2.484482649,6.480700207,0.841072373,13.20637334,3,0.189006552,0,1,1,1,140.1826176,178,15,0.57,1,110,0
41,1.590037653,1.537323156,0.111873129,0.862168788,17.09349954,2,0.144199225,0,0,0,1,113.5296731,138,17,0.29,0,93,0
42,2.074772406,2.029450777,1.287005381,0.677792221,0.983122114,7,0.511877199,0,0,0,1,103.7195456,136,3,3.58,0,79,0
43,1.366910533,2.130495017,3.744753859,0.562019474,22.5181916,10,0.605771457,0,1,1,1,133.3851549,178,23,6.06,0,100,0
44,1.238445377,3.414688737,4.985703729,0.733267677,18.11575483,10,0.493327483,0,0,0,0,94.24479198,148,20,4.93,0,60,0
45,2.975456928,2.213484372,3.452254716,0.946052379,14.5630464,7,0.330228444,0,0,0,0,59.87607983,109,15,2.31,0,33,0
46,2.366358329,0.779294016,3.739823719,0.101900534,17.74513661,4,0.438639715,1,0,0,1,91.23026892,134,18,1.75,0,62,0
